CustomerID,Segment
CUST1000,Loyal High Spenders
CUST1001,At-Risk Low Spenders
CUST1002,Loyal High Spenders
CUST1003,Loyal High Spenders
CUST1004,Potential Loyalists
CUST1005,Loyal High Spenders
CUST1006,Potential Loyalists
CUST1007,Potential Loyalists
CUST1008,Loyal High Spenders
CUST1009,Potential Loyalists
CUST1010,At-Risk Low Spenders
CUST1011,Potential Loyalists
CUST1012,Loyal High Spenders
CUST1013,Potential Loyalists
CUST1014,Loyal High Spenders
CUST1015,Potential Loyalists
CUST1016,At-Risk Low Spenders
CUST1017,Potential Loyalists
CUST1018,Potential Loyalists
CUST1019,Potential Loyalists
CUST1020,Potential Loyalists
CUST1021,At-Risk Low Spenders
CUST1022,Loyal High Spenders
CUST1023,Loyal High Spenders
CUST1024,Potential Loyalists
CUST1025,At-Risk Low Spenders
CUST1026,Potential Loyalists
CUST1027,Potential Loyalists
CUST1028,Loyal High Spenders
CUST1029,Potential Loyalists
CUST1030,Potential Loyalists
CUST1031,Loyal High Spenders
CUST1032,Loyal High Spenders
CUST1033,Potential Loyalists
CUST1034,Loyal High Spenders
CUST1035,Loyal High Spenders
CUST1036,At-Risk Low Spenders
CUST1037,At-Risk Low Spenders
CUST1038,Loyal High Spenders
CUST1039,Potential Loyalists
CUST1040,At-Risk Low Spenders
CUST1041,Potential Loyalists
CUST1042,Potential Loyalists
CUST1043,Potential Loyalists
CUST1044,Potential Loyalists
CUST1045,At-Risk Low Spenders
CUST1046,Potential Loyalists
CUST1047,Potential Loyalists
CUST1048,Loyal High Spenders
CUST1049,At-Risk Low Spenders
CUST1050,Loyal High Spenders
CUST1051,At-Risk Low Spenders
CUST1052,Loyal High Spenders
CUST1053,Potential Loyalists
CUST1054,Loyal High Spenders
CUST1055,At-Risk Low Spenders
CUST1056,At-Risk Low Spenders
CUST1057,Potential Loyalists
CUST1058,At-Risk Low Spenders
CUST1059,At-Risk Low Spenders
CUST1060,Potential Loyalists
CUST1061,At-Risk Low Spenders
CUST1062,Potential Loyalists
CUST1063,Potential Loyalists
CUST1064,At-Risk Low Spenders
CUST1065,Potential Loyalists
CUST1066,At-Risk Low Spenders
CUST1067,Potential Loyalists
CUST1068,Potential Loyalists
CUST1069,At-Risk Low Spenders
CUST1070,Loyal High Spenders
CUST1071,Loyal High Spenders
CUST1072,Potential Loyalists
CUST1073,At-Risk Low Spenders
CUST1074,Loyal High Spenders
CUST1075,Potential Loyalists
CUST1076,Loyal High Spenders
